,Unnamed: 0,Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name,Area,TestType
0,0,0.15,0.1531507508918897,9.15352384653342,296.33987439370026,433.8349912666168,0.2046793995576272,1444.1463585455856,999.9343607210436,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
1,1,0.45,0.4587921774804106,9.255136229135488,295.8354660794485,431.8118370637621,0.2037740657311276,1444.561198087055,999.927171522606,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
2,2,0.7499999999999999,0.7646533895258024,9.13231802780097,295.647001860651,433.0895452512848,0.2042996237906504,1444.069488864193,999.9385741636409,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
3,3,1.05,1.0705114332651957,9.033097360542625,296.1218419223377,435.04979694510007,0.2051729752120779,1443.6726455605872,999.9482680653856,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
4,4,1.35,1.3763664901164638,8.92536927611244,296.5705473634493,437.0925854184746,0.2060785166679608,1443.2402018806606,999.9584849263972,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
5,5,1.65,1.6822196944639498,8.913977629902886,296.47100612620926,437.092648585111,0.2060685761498194,1443.1985414108842,999.960761620049,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
6,6,2.094145396176507,2.135030035637058,8.925131542579443,296.00580987503497,436.26331927927527,0.2056737009256463,1443.250563535693,999.9617579851392,40.2741476,-106.8399001,2025-05-13 18:12:11,CC2435009_20250513_181211,MOR,cast
7,7,0.15,0.1531554164874313,9.90230882933078,302.4979248046875,433.3494472871061,0.2049920512275306,1447.1530108199745,999.8730014493624,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
8,8,0.45,0.4588332536543014,9.917990489769553,302.1495113671259,432.6559276881228,0.2046651077763877,1447.2197604480382,999.8728067856424,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
9,9,0.7499999999999999,0.7647213026120435,9.872993566177188,302.3418961019203,433.4900236312912,0.205037886782847,1447.0459926389076,999.878460453727,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
10,10,1.05,1.0706080314014812,9.85168186175038,302.3129479436004,433.7135710448854,0.2051305456019885,1446.96603808357,999.8818179107046,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
11,11,1.35,1.3764934960702295,9.808613173941104,302.2247397591694,434.12350019366033,0.2052982989025738,1446.7994056104994,999.8871052573604,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
12,12,1.65,1.6823779765613105,9.806209041503967,301.99965915865624,433.8301519687806,0.2051531288275949,1446.794426510162,999.888632589368,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
13,13,1.95,1.988261959640308,9.799239052899129,302.07610334597246,434.0268804251432,0.2052428095712944,1446.7715343851953,999.89073766691,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
14,14,2.25,2.294144997762792,9.76529209156583,302.01143591274496,434.3576851264453,0.2053784102815929,1446.641050800606,999.8951909378732,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
15,15,2.55,2.6000269766563853,9.749072896513669,301.94545322456355,434.4654807392824,0.2054182463811853,1446.5811375480855,999.8980431295722,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
16,16,2.85,2.905908059621757,9.726948018815898,301.8964802177795,434.67177140675415,0.2055016709741003,1446.4976593459503,999.901428828087,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
17,17,3.15,3.211788259332579,9.71230385589651,301.9488524803716,434.9305850367524,0.2056159352238316,1446.444073046334,999.904198194089,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
18,18,3.45,3.517667879453775,9.71188396457765,301.8189428939688,434.748720642713,0.2055263385142384,1446.4470704576934,999.905598599022,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
19,19,3.71054346350175,3.7833170478905953,9.68559625940333,301.8493696521007,435.1220711252278,0.2056879526393373,1446.346330442159,999.9091986931724,40.2765066,-106.8417523,2025-05-13 18:16:17,CC2435009_20250513_181617,MOR,cast
20,20,0.15,0.1531950464577796,12.425925254821776,324.1171264648437,433.0115077423317,0.2063522893634242,1456.8860411921569,999.6119485943558,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
21,21,0.45,0.4589540298048939,12.445137736257392,323.94066842117013,432.55371458749465,0.2061379387863566,1456.962370118242,999.6108890261388,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
22,22,0.7499999999999999,0.7649235181866961,12.450413415387407,323.98018717241854,432.5455417259873,0.2061357820783127,1456.986900304776,999.6116688390777,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
23,23,1.05,1.070892894269101,12.45819328751818,323.7573374315302,432.1582396492847,0.2059499463635096,1457.02054993181,999.6120031789666,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
24,24,1.35,1.376862100057876,12.459781458354724,323.641212661724,431.98491830702034,0.205865333145327,1457.031208174107,999.6131619305193,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
25,25,1.65,1.6828308771935825,12.453242270310891,323.2347297509008,431.5176873313426,0.2056331907965219,1457.0113441527965,999.6151844109486,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
26,26,1.95,1.988799260490456,12.454735370569736,322.6478057920018,430.71697423541815,0.2052425120593043,1457.021270758463,999.6161156886202,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
27,27,2.25,2.294767134975026,12.443325821270458,322.52889263403927,430.68942937064105,0.205222368978157,1456.983477848985,999.618889431233,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
28,28,2.55,2.600733594095995,12.400068631730695,322.6756374663499,431.3837504466338,0.2055379332981351,1456.8270712535889,999.6257442889204,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
29,29,2.85,2.906698040661696,12.356851138617866,322.52503902033413,431.6812434532551,0.2056598246964678,1456.6703973568185,999.6324203026544,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
30,30,3.15,3.2126605220900712,12.313227747331036,322.0651297383821,431.5696459165462,0.2055818445689716,1456.5117791039518,999.6389654937748,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
31,31,3.45,3.518620283570993,12.22968159262935,322.03581407533227,432.49874871222136,0.2059902915853827,1456.2037629943163,999.6505739979748,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
32,32,3.75,3.8245756346646247,12.090714255434806,320.84420347765155,432.5128403676387,0.2059223339316532,1455.685832912886,999.6681659460544,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
33,33,4.05,4.130526108304804,11.976896716201304,320.2126124964442,432.9901113039377,0.2060925979336077,1455.2614277486002,999.6828273726218,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
34,34,4.35,4.436472644998692,11.888676405890862,319.4811660054152,433.0341952231123,0.2060648555695357,1454.9325122039943,999.6942740841232,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
35,35,4.65,4.7424148481539445,11.74829571962166,318.4738154033855,433.3178031346597,0.2061241497804327,1454.404875310246,999.7115281283402,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
36,36,4.949999999999999,5.048350758034452,11.546630670418086,318.03491422127126,435.1083921926325,0.2068812611183979,1453.6423412484787,999.7357834900612,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
37,37,5.249999999999999,5.354278819348472,11.302644180708576,315.7156832656578,434.8384124501747,0.2066059807052577,1452.7121018627906,999.7632042636144,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
38,38,5.55,5.660199599429589,11.11526680982764,313.3343337600106,433.79761723752034,0.20598559263888,1451.9944288169463,999.7837538503494,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
39,39,5.85,5.966114427051927,10.93869872729859,310.54737468779626,432.05150114674063,0.2050263559948679,1451.3148741108253,999.80249159548,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
40,40,6.15,6.272022073413997,10.6577807554814,306.98450860509627,430.45935852009785,0.2040741160079217,1450.2253789427118,999.83107527589,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
41,41,6.449999999999999,6.5779203702282585,10.335838860244037,305.9570246186416,432.92735433383245,0.2050634312575389,1448.9692817186726,999.8639893946646,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
42,42,6.749999999999999,6.883805173408782,9.739526379075562,303.1998223511005,436.3902648565252,0.2063331706226316,1446.6112172482246,999.9196701185311,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
43,43,7.049999999999999,7.1896787737775165,9.543650570756313,301.79079064835463,436.8252713044786,0.2064012374678913,1445.8318091679246,999.9376117549856,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
44,44,7.35,7.495543763810786,9.073479375565196,298.05653895359376,437.373206986511,0.206311013448451,1443.938452701414,999.9763486883792,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
45,45,7.774876907223562,7.928716581993174,8.952888192832582,294.8034969830624,434.1361113504552,0.2046455267469796,1443.4527547332889,999.9861716788538,40.2799046,-106.851733,2025-05-13 18:25:30,CC2435009_20250513_182530,MID,cast
46,46,0.15,0.1531964854769206,12.49453518217958,324.762451171875,433.07971360880913,0.2064207058582852,1457.1422277772715,999.603737108333,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
47,47,0.45,0.4589572040144081,12.509357657799354,324.64224337064303,432.7483375380329,0.2062656977804889,1457.202141821327,999.603238637692,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
48,48,0.7499999999999999,0.7649287965010326,12.51898701084816,324.4457717898256,432.37544192759793,0.2060877833837932,1457.242652766403,999.6033489689092,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
49,49,1.05,1.0709004229270738,12.53034621255656,324.5566728681278,432.3923246404008,0.2061009141932186,1457.2898367699056,999.6033972605536,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
50,50,1.35,1.376871740742566,12.522558380066952,324.47323552712,432.3708850560273,0.2060856295983098,1457.2656311503904,999.6057457983516,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
51,51,1.65,1.6828417540650924,12.479917337068072,324.0994304949368,432.3641212708849,0.2060597456665579,1457.1114273519545,999.6123012000928,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
52,52,1.95,1.9888103165532247,12.46300965952144,323.6708886443536,431.9873010550966,0.205866401438756,1457.0529277574765,999.6156059852952,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
53,53,2.25,2.294777755630965,12.439049300100097,323.71075607802226,432.3170087510165,0.2060140931394145,1456.968483114645,999.6200220683148,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
54,54,2.55,2.600743067609626,12.37040207927333,323.6075768111081,432.9731001082672,0.2062978720407325,1456.7170589717452,999.6298852477396,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
55,55,2.85,2.9067055798782,12.30966168883734,323.4554520211348,433.47411552368646,0.2065097867340464,1456.4947314825797,999.6386965427532,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
56,56,3.15,3.212665945191984,12.273382146150214,322.9464770633798,433.2132724058896,0.2063626669903576,1456.3633790533904,999.6442946545876,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
57,57,3.45,3.518622731644936,12.129235995834012,321.5135658962768,432.9655018114989,0.2061645882607835,1455.8263719706315,999.6624632022816,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
58,58,3.75,3.8245741487968896,11.992477274426834,320.60219660310884,433.3343158187779,0.2062697961657543,1455.315679627524,999.6797618473406,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
59,59,4.05,4.130520742917456,11.87598674177558,319.5163564877409,433.2309244023178,0.2061546527536275,1454.8797373087425,999.6943617201864,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
60,60,4.35,4.436463135104744,11.770768342069632,318.6586818709561,433.3043559309815,0.2061310795957011,1454.485436562257,999.707602381609,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
61,61,4.65,4.742398934520463,11.516541500847127,318.1680468568515,435.649206879943,0.2071283549987161,1453.5228648835748,999.7378286000657,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
62,62,4.949999999999999,5.048324286874108,11.179235006126223,317.62129030042104,438.9552325341294,0.2085386740691348,1452.2347468802477,999.7762621592442,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
63,63,5.249999999999999,5.354239131209731,10.88463776429719,313.513457558326,436.8351989751042,0.2073233950026802,1451.0983566380733,999.806890953854,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
64,64,5.55,5.660145265184016,10.607736069470956,307.5261300951958,431.824884198212,0.2047080808124262,1450.0210296754974,999.8335784855336,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
65,65,5.85,5.966042613770517,10.296576090127546,305.5091771049678,432.77452227217407,0.2049647739673311,1448.8049457543175,999.864701249125,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
66,66,6.15,6.271929745406513,9.923610561695812,304.3973545940804,435.804531230146,0.2061811346745664,1447.3350706565518,999.9007510623516,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
67,67,6.449999999999999,6.577806735154208,9.593995562501584,303.66957091643326,438.905026694283,0.2074503401069307,1446.025501575629,999.9313872149304,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
68,68,6.749999999999999,6.883674398605545,9.241127369392643,302.2291871513738,441.3248195524215,0.2083602594160706,1444.6107747974445,999.9621089421636,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
69,69,7.049999999999999,7.189534262384372,8.96732257283683,296.9569486226092,437.12151286849047,0.2061069808602754,1443.5018396577382,999.9827663102284,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
70,70,7.35,7.4953877809230995,8.697309150430174,295.0280893701511,437.7620896272438,0.2062010900059622,1442.4039418044074,1000.0039803115426,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
71,71,7.65,7.801234988148762,8.426813907622591,293.44201735726426,438.9320773559402,0.2065441626716755,1441.297072107696,1000.0244175334334,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
72,72,7.95,8.107076449572656,8.196587439935854,293.3163882398053,441.78695893142094,0.2077302846296664,1440.3510378250078,1000.0419350226744,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
73,73,8.25,8.412913576634436,8.04586672782195,292.60629272459335,442.72752041065775,0.2080534251654846,1439.729871548778,1000.0531431537446,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
74,74,8.549999999999999,8.71874762490259,7.904970978361826,290.2653980474193,441.0661815175232,0.2071235996709469,1439.1458460828203,1000.0624502431164,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
75,75,8.85,9.024579604654273,7.84998321533115,289.6312622070285,440.8392849221565,0.2069636758654775,1438.9205299053956,1000.067051581914,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
76,76,9.15,9.33041126051091,7.900570994432677,289.0968809505158,439.3493368237223,0.2062869864945394,1439.13590780896,1000.064949038498,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
77,77,9.45,9.636240431632311,7.613346103989338,288.0207201177713,441.5687970185616,0.207099503465088,1437.9374732228118,1000.0836825389642,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
78,78,9.859518082110911,10.053711726716172,7.633635992166066,287.88775196428224,441.0905239511033,0.206885517597019,1438.029031294075,1000.0843570454284,40.2795316,-106.8520187,2025-05-13 18:28:51,CC2435009_20250513_182851,MID,cast
79,79,0.15,0.1532006971858323,12.71625518798828,327.7750244140625,434.5275303451269,0.2072388261900599,1457.9678400241742,999.577264627697,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
80,80,0.45,0.4589702271096667,12.810033243411146,326.1425904049739,431.29106539705066,0.2057045227035362,1458.318182354264,999.5658306243892,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
81,81,0.7499999999999999,0.7649543814130018,12.90241607907284,325.9033292828712,429.9242145975135,0.2050814786735437,1458.663679898487,999.5551734324298,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
82,82,1.05,1.0709396267528888,12.889760145270571,327.6026076900748,432.3102157865815,0.2062389639406517,1458.6232171714755,999.559082791484,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
83,83,1.35,1.376924517740141,12.91012566234817,327.6412617376718,432.12895765085887,0.2061594738612971,1458.7031439447155,999.5578689013008,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
84,84,1.65,1.6829095529843776,12.915693444418226,327.5686442449169,431.96973929160737,0.2060835851590287,1458.7284400928345,999.55852067008,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
85,85,1.95,1.988894385928084,12.918246852476315,327.50912908274984,431.862172263591,0.2060314531984125,1458.742640047955,999.5595709674714,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
86,86,2.25,2.294878108824072,12.87830898223021,327.47182989154976,432.2682805681427,0.2062094973328268,1458.6002536710607,999.566153436666,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
87,87,2.55,2.600859587992816,12.824259435854618,327.5771282296599,433.0251710349957,0.2065517507981567,1458.405732313863,999.5746106725652,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
88,88,2.85,2.906838644617384,12.775053642663584,327.5841765518044,433.59855905251055,0.2068066162753811,1458.2287692682582,999.5823616654444,40.2836284,-106.8534496,2025-05-13 19:44:04,CC2435009_20250513_194404,DOC,cast
